-d-c----x---- : /atf_logger : mediatek,atf_logger : drivers/misc/mediatek/atf_log/atf_logger.c : atf_log-y : none
-dDc---H----- : /gpio-keys : gpio-keys : arch/arm/mach-pxa/ezx.c : CONFIG_PXA_EZX : none
-dDc---H----- : /gpio-keys : gpio-keys : arch/arm/mach-pxa/hx4700.c : CONFIG_MACH_H4700 : none
-dDc---H----- : /gpio-keys : gpio-keys : arch/arm/mach-pxa/magician.c : CONFIG_MACH_MAGICIAN : none
-dDc---H----- : /gpio-keys : gpio-keys : arch/arm/mach-pxa/mainstone.c : CONFIG_MACH_MAINSTONE : none
-dDc---H----- : /gpio-keys : gpio-keys : arch/arm/mach-pxa/mioa701.c : CONFIG_MACH_MIOA701 : none
-dDc---H----- : /gpio-keys : gpio-keys : arch/arm/mach-pxa/palmld.c : CONFIG_MACH_PALMLD : none
-dDc---H----- : /gpio-keys : gpio-keys : arch/arm/mach-pxa/palmt5.c : CONFIG_MACH_PALMT5 : none
-dDc---H----- : /gpio-keys : gpio-keys : arch/arm/mach-pxa/palmtc.c : CONFIG_MACH_PALMTC : none
-dDc---H----- : /gpio-keys : gpio-keys : arch/arm/mach-pxa/palmte2.c : CONFIG_MACH_PALMTE2 : none
-dDc---H----- : /gpio-keys : gpio-keys : arch/arm/mach-pxa/palmtx.c : CONFIG_MACH_PALMTX : none
-dDcC--H----- : /gpio-keys : gpio-keys : arch/arm/mach-pxa/raumfeld.c : CONFIG_MACH_RAUMFELD_RC : none
-dDcC--H----- : /gpio-keys : gpio-keys : arch/arm/mach-pxa/raumfeld.c : CONFIG_MACH_RAUMFELD_CONNECTOR : none
-dDcC--H----- : /gpio-keys : gpio-keys : arch/arm/mach-pxa/raumfeld.c : CONFIG_MACH_RAUMFELD_SPEAKER : none
-dDc---H----- : /gpio-keys : gpio-keys : arch/arm/mach-pxa/spitz.c : CONFIG_PXA_SHARP_Cxx00 : none
-dDc---H----- : /gpio-keys : gpio-keys : arch/arm/mach-pxa/tosa.c : CONFIG_MACH_TOSA : none
